SIRKET;kanal;YANGIN;SIVIL;TICARI;SIANI;ZORUNLU_DEPREM;IHTIYARI_DEPREM;SEL;depremveseldisindakidogal;nukleerenerji;toprakkaymasi;patlama;toplam
Koru Sigorta A?;Banka;0;0;0;0;0;0;0;0;0;0;0;0
Koru Sigorta A?;Broker;483.89;0;0;483.89;1159.44;3912.61;37.5;0;0;37.5;0;1160021.07
Koru Sigorta A?;Di?er;0;0;0;0;0;0;0;0;0;0;0;5162906.58
Koru Sigorta A?;Merkez;431.05;145.49;0;285.56;443.4;10773.23;52.34;4.32;0;52.34;0;182379.77
Koru Sigorta A?;Toplam;242726.34;125936.95;30498.74;86290.65;598498.09;507955.23;18930.19;16532.87;0;12891.18;0;47758347.23
Magdeburger Sigorta A?;Acente;3970.13;3970.13;0;0;7268.16;0;0;0;0;0;0;1295256.17
Magdeburger Sigorta A?;Banka;0;0;0;0;0;0;0;0;0;0;0;0
Magdeburger Sigorta A?;Broker;0;0;0;0;0;0;0;0;0;0;0;0
Magdeburger Sigorta A?;Di?er;0;0;0;0;0;0;0;0;0;0;0;3463191.557
Magdeburger Sigorta A?;Merkez;515.15;515.15;0;0;0;0;0;0;0;0;0;195308.07
Magdeburger Sigorta A?;Toplam;4485.28;4485.28;0;0;7268.16;0;0;0;0;0;0;4953755.797
Mapfre Sigorta A?;Acente;19087658.66;1564029.903;14561991.03;2961637.735;1790203.2;0;0;0;0;0;0;178573287.6
Mapfre Sigorta A?;Banka;14606755.73;1196867.732;11143506.37;2266381.63;28890.77;0;0;0;0;0;0;22947808.82
Mapfre Sigorta A?;Broker;110442.24;9049.562806;84256.47881;17136.19838;141033.91;0;0;0;0;0;0;83068428
Mapfre Sigorta A?;Di?er;0;0;0;0;0;0;0;0;0;0;0;0
Mapfre Sigorta A?;Merkez;3398897.861;278503.4029;2593022.068;527372.3896;65417.95;0;0;0;0;0;0;27411394.7
Mapfre Sigorta A?;Toplam;37203754.49;3048450.601;28382775.94;5772527.953;2025545.83;0;0;0;0;0;0;312000919.1
Mapfre Ya?am Sigorta A?;Acente;0;0;0;0;0;0;0;0;0;0;0;356015.4481
Mapfre Ya?am Sigorta A?;Banka;0;0;0;0;0;0;0;0;0;0;0;0
Mapfre Ya?am Sigorta A?;Broker;0;0;0;0;0;0;0;0;0;0;0;2290170.81
Mapfre Ya?am Sigorta A?;Di?er;0;0;0;0;0;0;0;0;0;0;0;0
Mapfre Ya?am Sigorta A?;Merkez;0;0;0;0;0;0;0;0;0;0;0;1159879.9
